anio,mes,dia,hora(utc),altura(mm)
2016,1,24,10,1912 
2016,1,24,11,1632 
2016,1,24,12,1272 
2016,1,24,13,916 
2016,1,24,14,657 
2016,1,24,15,559 
2016,1,24,16,622 
2016,1,24,17,802 
2016,1,24,18,1044 
2016,1,24,19,1287 
2016,1,24,20,1436 
2016,1,24,21,1407 
2016,1,24,22,1194 
2016,1,24,23,865 
2016,1,25,0,492 
2016,1,25,1,152 
2016,1,25,2,-68 
2016,1,25,3,-98 
2016,1,25,4,73 
2016,1,25,5,408 
2016,1,25,6,847 
2016,1,25,7,1316 
2016,1,25,8,1717 
2016,1,25,9,1941 
2016,1,25,10,1938 
2016,1,25,11,1745 
2016,1,25,12,1435 
2016,1,25,13,1084 
2016,1,25,14,776 
2016,1,25,15,587 
2016,1,25,16,551 
2016,1,25,17,653 
2016,1,25,18,853 
2016,1,25,19,1102 
2016,1,25,20,1319 
2016,1,25,21,1407 
2016,1,25,22,1316 
2016,1,25,23,1078 
2016,1,26,0,762 
2016,1,26,1,432 
2016,1,26,2,162 
2016,1,26,3,31 
2016,1,26,4,77 
2016,1,26,5,290 
2016,1,26,6,635 
2016,1,26,7,1057 
2016,1,26,8,1467 
2016,1,26,9,1760 
2016,1,26,10,1862 
2016,1,26,11,1767 
2016,1,26,12,1531 
2016,1,26,13,1224 
2016,1,26,14,916 
2016,1,26,15,681 
2016,1,26,16,567 
2016,1,26,17,581 
2016,1,26,18,710 
2016,1,26,19,921 
2016,1,26,20,1153 
2016,1,26,21,1314 
2016,1,26,22,1331 
2016,1,26,23,1198 
2016,1,27,0,965 
2016,1,27,1,688 
2016,1,27,2,424 
2016,1,27,3,244 
2016,1,27,4,202 
2016,1,27,5,305 
2016,1,27,6,538 
2016,1,27,7,873 
2016,1,27,8,1244 
2016,1,27,9,1554 
2016,1,27,10,1718 
2016,1,27,11,1707 
2016,1,27,12,1551 
2016,1,27,13,1304 
2016,1,27,14,1029 
2016,1,27,15,788 
2016,1,27,16,634 
2016,1,27,17,584 
2016,1,27,18,636 
2016,1,27,19,782 
2016,1,27,20,988 
2016,1,27,21,1178 
2016,1,27,22,1269 
2016,1,27,23,1230 
2016,1,28,0,1085 
2016,1,28,1,881 
2016,1,28,2,662 
2016,1,28,3,480 
2016,1,28,4,391 
2016,1,28,5,419 
2016,1,28,6,554 
2016,1,28,7,786 
2016,1,28,8,1084 
2016,1,28,9,1371 
2016,1,28,10,1558 
2016,1,28,11,1602 
2016,1,28,12,1511 
2016,1,28,13,1326 
2016,1,28,14,1096 
2016,1,28,15,875 
2016,1,28,16,709 
2016,1,28,17,624 
2016,1,28,18,621 
2016,1,28,19,699 
2016,1,28,20,852 
2016,1,28,21,1033 
2016,1,28,22,1166 
2016,1,28,23,1199 
2016,1,29,0,1134 
2016,1,29,1,1005 
2016,1,29,2,848 
2016,1,29,3,697 
2016,1,29,4,596 
2016,1,29,5,581 
2016,1,29,6,650 
2016,1,29,7,792 
2016,1,29,8,1001 
2016,1,29,9,1234 
2016,1,29,10,1417 
2016,1,29,11,1489 
2016,1,29,12,1444 
2016,1,29,13,1310 
2016,1,29,14,1126 
2016,1,29,15,932 
2016,1,29,16,770 
2016,1,29,17,668 
2016,1,29,18,632 
2016,1,29,19,659 
2016,1,29,20,751 
2016,1,29,21,896 
2016,1,29,22,1041 
2016,1,29,23,1126 
2016,1,30,0,1130 
2016,1,30,1,1071 
2016,1,30,2,978 
2016,1,30,3,876 
2016,1,30,4,791 
2016,1,30,5,755 
2016,1,30,6,781 
2016,1,30,7,861 
2016,1,30,8,987 
2016,1,30,9,1150 
2016,1,30,10,1303 
2016,1,30,11,1387 
2016,1,30,12,1376 
2016,1,30,13,1284 
2016,1,30,14,1139 
2016,1,30,15,973 
2016,1,30,16,821 
2016,1,30,17,708 
2016,1,30,18,647 
2016,1,30,19,637 
2016,1,30,20,679 
2016,1,30,21,773 
2016,1,30,22,901 
2016,1,30,23,1015 
2016,1,31,0,1078 
2016,1,31,1,1088 
2016,1,31,2,1060 
2016,1,31,3,1013 
2016,1,31,4,963 
2016,1,31,5,928 
2016,1,31,6,926 
2016,1,31,7,960 
2016,1,31,8,1023 
2016,1,31,9,1112 
2016,1,31,10,1216 
2016,1,31,11,1293 
2016,1,31,12,1308 
2016,1,31,13,1256 
2016,1,31,14,1152 
2016,1,31,15,1016 
2016,1,31,16,876 
2016,1,31,17,756 
2016,1,31,18,670 
2016,1,31,19,624 
2016,1,31,20,622 
2016,1,31,21,664 
2016,1,31,22,753 
2016,1,31,23,868 
2016,2,1,0,976 
2016,2,1,1,1052 
2016,2,1,2,1093 
2016,2,1,3,1108 
2016,2,1,4,1105 
2016,2,1,5,1091 
2016,2,1,6,1077 
2016,2,1,7,1073 
2016,2,1,8,1085 
2016,2,1,9,1112 
2016,2,1,10,1154 
2016,2,1,11,1203 
2016,2,1,12,1232 
2016,2,1,13,1220 
2016,2,1,14,1163 
2016,2,1,15,1068 
2016,2,1,16,947 
2016,2,1,17,824 
2016,2,1,18,716 
2016,2,1,19,630 
2016,2,1,20,578 
2016,2,1,21,568 
2016,2,1,22,607 
2016,2,1,23,696 
2016,2,2,0,821 
2016,2,2,1,954 
2016,2,2,2,1069 
2016,2,2,3,1157 
2016,2,2,4,1213 
2016,2,2,5,1239 
2016,2,2,6,1235 
2016,2,2,7,1206 
2016,2,2,8,1170 
2016,2,2,9,1139 
2016,2,2,10,1120 
2016,2,2,11,1122 
2016,2,2,12,1141 
2016,2,2,13,1159 
2016,2,2,14,1153 
2016,2,2,15,1112 
2016,2,2,16,1030 
2016,2,2,17,918 
2016,2,2,18,794 
2016,2,2,19,671 
2016,2,2,20,564 
2016,2,2,21,492 
2016,2,2,22,472 
2016,2,2,23,515 
2016,2,3,0,627 
2016,2,3,1,791 
2016,2,3,2,974 
2016,2,3,3,1143 
2016,2,3,4,1277 
2016,2,3,5,1362 
2016,2,3,6,1389 
2016,2,3,7,1358 
2016,2,3,8,1284 
2016,2,3,9,1194 
2016,2,3,10,1112 
2016,2,3,11,1055 
2016,2,3,12,1042 
2016,2,3,13,1069 
2016,2,3,14,1108 
2016,2,3,15,1128 
2016,2,3,16,1108 
2016,2,3,17,1034 
2016,2,3,18,911 
2016,2,3,19,759 
2016,2,3,20,598 
2016,2,3,21,455 
